"ticker","cik","fund_name","sic","sic_description","entity_name","verdict","reason"
"PHC_MONROECA","0002061670","Monroe Capital Enhanced Corporate Lending Fund","","","Monroe Capital Enhanced Corporate Lending Fund","keep",""
"PHC_SILVERPO","0001646614","Silver Point Specialty Lending Fund","","","Silver Point Specialty Lending Fund","keep",""
"PHC_WELLINGS","0001922947","Wellings Real Estate Income Fund","","","Wellings Real Estate Income Fund","remove","name pattern: Wellings Real Estate Income Fund"
"PHC_NEWMOUNT","0002037804","New Mountain Private Credit Fund","","","New Mountain Private Credit Fund","keep",""
"PHC_TPGTWINB","0001913724","TPG Twin Brook Capital Income Fund","","","TPG Twin Brook Capital Income Fund","keep",""
"PHC_NMFSLFII","0001766037","NMF SLF I, Inc.","","","NMF SLF I, Inc.","keep",""
"PHC_NEWMOUNT","0001976719","New Mountain Guardian IV Income Fund, L.L.C.","","","New Mountain Guardian IV Income Fund, L.L.C.","keep",""
"PHC_NEWMOUNT","0001925531","New Mountain Guardian IV BDC, L.L.C.","","","New Mountain Guardian IV BDC, L.L.C.","keep",""
"PHC_COMMONWE","0001841514","Commonwealth Credit Partners BDC I, Inc.","","","Commonwealth Credit Partners BDC I, Inc.","keep",""
"PHC_TERRAINC","0001577134","Terra Income Fund 6, LLC","6798","Real Estate Investment Trusts","Terra Income Fund 6, LLC","remove","SIC 6798: Real Estate Investment Trusts"
"PHC_TCWDIREC","0001603480","TCW Direct Lending LLC","","","TCW Direct Lending LLC","keep",""
"PHC_APOLLOOR","0002052153","Apollo Origination II","","","Apollo Origination II","keep",""
"PHC_LAGOEVER","0002043759","LAGO Evergreen Credit","","","LAGO Evergreen Credit","keep",""
"PHC_MONROECA","0001742313","Monroe Capital Income Plus Corp","","","Monroe Capital Income Plus Corp","keep",""
"PHC_SCPPRIVA","0001743415","SCP Private Credit Income BDC LLC","","","SCP Private Credit Income BDC LLC","keep",""
"PHC_SLRPRIVA","0001932591","SLR Private Credit BDC II LLC","","","SLR Private Credit BDC II LLC","keep",""
