[12:30:25] === Smoke test: ARCC ===
[14:24:20] KKR_FSIT 2024-12-31: +0 cells from LLM
[14:24:31] FSLEN 2025-06-30: +3 cells from LLM
[14:25:01] FSLEN 2025-03-31: +8 cells from LLM
[14:25:12] FSLEN 2024-12-31: +0 cells from LLM
[14:25:22] FSLEN 2024-09-30: +6 cells from LLM
[14:25:53] FSLEN 2024-06-30: +6 cells from LLM
[14:26:04] CSRC 2025-12-31: +0 cells from LLM
[14:26:14] CSRC 2025-09-30: +0 cells from LLM
[14:26:25] NCPCIF 2025-12-31: +0 cells from LLM
[14:26:34] NCPCIF 2025-09-30: +1 cells from LLM
[14:26:44] NCPCIF 2025-06-30: +1 cells from LLM
[14:26:55] NCPCIF 2025-03-31: +1 cells from LLM
[14:27:06] FID_PCF 2025-12-31: +0 cells from LLM
[14:27:16] FID_PCF 2025-09-30: +0 cells from LLM
[14:27:26] FID_PCF 2025-06-30: +0 cells from LLM
[14:27:36] FID_PCF 2025-03-31: +0 cells from LLM
[14:27:47] HCCS 2025-12-31: +3 cells from LLM
[14:28:23] HCCS 2025-09-30: +4 cells from LLM
[14:28:34] HCCS 2025-06-30: +2 cells from LLM
[14:29:01] HCCS 2025-03-31: +3 cells from LLM
[14:29:13] HCCS 2024-12-31: +2 cells from LLM
[14:29:23] GCB 2025-12-31: +0 cells from LLM
[14:29:35] GCB 2025-09-30: +0 cells from LLM
[14:29:48] GCB 2025-06-30: +0 cells from LLM
[14:29:58] GCB 2025-03-31: +0 cells from LLM
[14:30:09] NSI 2025-12-31: +1 cells from LLM
[14:30:31] NSI 2025-09-30: +5 cells from LLM
[14:30:41] NSI 2025-06-30: +2 cells from LLM
[14:31:05] NSI 2025-03-31: +4 cells from LLM
[14:31:15] NSI 2024-12-31: +2 cells from LLM
[14:31:17] committed+pushed: Phase 4 LLM enrichment: 30 funds processed, +149 cells
[14:31:31] BOCA 2025-12-31: +2 cells from LLM
[14:31:41] BOCA 2025-09-30: +0 cells from LLM
[14:31:51] BOCA 2025-06-30: +0 cells from LLM
[14:32:06] BOCA 2025-03-31: +0 cells from LLM
